Year,Ward Code,Ward Name,Ward Zone,Issue Type,Sub Issue,Total Complaints,Complaints Closed,Complaints Open Pending,Closure Rate Pct,Avg Days To Resolve,Citizen Charter Days,Days Exceeded Charter,Escalation Level Reached,Data Source
2019,H/W,Bandra West / Khar,Western Suburbs,Air Pollution,Industrial Smoke / Emissions,4,3,1,75.0,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,H/W,Bandra West / Khar,Western Suburbs,Street Lights,Street Light Not Working,134,128,6,95.5,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,H/W,Bandra West / Khar,Western Suburbs,Trees,Tree Trimming Required,47,43,4,91.5,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,H/W,Bandra West / Khar,Western Suburbs,Trees,Fallen / Dangerous Tree,20,18,2,90.0,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,H/W,Bandra West / Khar,Western Suburbs,Buildings,Illegal Construction,45,29,16,64.4,28,30,0,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,H/W,Bandra West / Khar,Western Suburbs,Toilets / Sanitation,Public Toilet Not Functional,43,37,6,86.0,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Roads,Bad Patches / Potholes,1616,1410,206,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Roads,Resurfacing of Road,652,569,83,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Roads,Broken Footpath,339,296,43,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Drainage,Drainage Choke / Blockage,697,579,118,83.1,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Drainage,Overflow / Flooding,380,316,64,83.2,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Drainage,Leaking Sewer Line,190,158,32,83.2,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Solid Waste Mgmt,Garbage Not Lifted,328,281,47,85.7,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,153,131,22,85.6,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Solid Waste Mgmt,Waste Burning,66,56,10,84.8,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Water Supply,Shortage of Water,337,297,40,88.1,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Water Supply,Water Contamination,107,95,12,88.8,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Water Supply,Leaking Water Pipeline,222,196,26,88.3,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Water Supply,Unauthorised Water Tapping,100,88,12,88.0,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Air Pollution,Construction Dust / Debris,10,8,2,80.0,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Air Pollution,Industrial Smoke / Emissions,8,7,1,87.5,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Street Lights,Street Light Not Working,273,260,13,95.2,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Trees,Tree Trimming Required,96,86,10,89.6,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Trees,Fallen / Dangerous Tree,41,37,4,90.2,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Buildings,Illegal Construction,91,58,33,63.7,28,30,0,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/E,Andheri East / Kurla West,Western Suburbs,Toilets / Sanitation,Public Toilet Not Functional,88,75,13,85.2,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Roads,Bad Patches / Potholes,1367,1194,173,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Roads,Resurfacing of Road,551,481,70,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Roads,Broken Footpath,287,250,37,87.1,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Drainage,Drainage Choke / Blockage,590,490,100,83.1,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Drainage,Overflow / Flooding,322,267,55,82.9,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Drainage,Leaking Sewer Line,161,134,27,83.2,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Solid Waste Mgmt,Garbage Not Lifted,277,238,39,85.9,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,129,111,18,86.0,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Solid Waste Mgmt,Waste Burning,55,48,7,87.3,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Water Supply,Shortage of Water,286,252,34,88.1,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Water Supply,Water Contamination,91,80,11,87.9,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Water Supply,Leaking Water Pipeline,188,166,22,88.3,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Water Supply,Unauthorised Water Tapping,84,74,10,88.1,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Air Pollution,Construction Dust / Debris,8,7,1,87.5,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Air Pollution,Industrial Smoke / Emissions,7,6,1,85.7,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Street Lights,Street Light Not Working,231,220,11,95.2,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Trees,Tree Trimming Required,81,73,8,90.1,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Trees,Fallen / Dangerous Tree,35,31,4,88.6,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Buildings,Illegal Construction,77,50,27,64.9,28,30,0,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,K/W,Andheri West / Versova,Western Suburbs,Toilets / Sanitation,Public Toilet Not Functional,74,63,11,85.1,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Roads,Bad Patches / Potholes,1790,1562,228,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Roads,Resurfacing of Road,722,630,92,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Roads,Broken Footpath,375,328,47,87.5,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Drainage,Drainage Choke / Blockage,772,642,130,83.2,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Drainage,Overflow / Flooding,421,350,71,83.1,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Drainage,Leaking Sewer Line,211,175,36,82.9,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Solid Waste Mgmt,Garbage Not Lifted,363,311,52,85.7,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,169,145,24,85.8,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Solid Waste Mgmt,Waste Burning,73,62,11,84.9,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Water Supply,Shortage of Water,374,329,45,88.0,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Water Supply,Water Contamination,119,105,14,88.2,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Water Supply,Leaking Water Pipeline,246,217,29,88.2,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Water Supply,Unauthorised Water Tapping,110,97,13,88.2,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Air Pollution,Construction Dust / Debris,11,9,2,81.8,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Air Pollution,Industrial Smoke / Emissions,9,7,2,77.8,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Street Lights,Street Light Not Working,302,288,14,95.4,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Trees,Tree Trimming Required,106,96,10,90.6,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Trees,Fallen / Dangerous Tree,45,41,4,91.1,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Buildings,Illegal Construction,101,65,36,64.4,28,30,0,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,L,Kurla / Tilak Nagar,Western Suburbs,Toilets / Sanitation,Public Toilet Not Functional,97,83,14,85.6,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Roads,Bad Patches / Potholes,1193,1042,151,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Roads,Resurfacing of Road,481,420,61,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Roads,Broken Footpath,250,218,32,87.2,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Drainage,Drainage Choke / Blockage,515,428,87,83.1,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Drainage,Overflow / Flooding,281,233,48,82.9,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Drainage,Leaking Sewer Line,140,117,23,83.6,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Solid Waste Mgmt,Garbage Not Lifted,242,207,35,85.5,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,113,97,16,85.8,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Solid Waste Mgmt,Waste Burning,48,41,7,85.4,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Water Supply,Shortage of Water,249,220,29,88.4,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Water Supply,Water Contamination,79,70,9,88.6,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Water Supply,Leaking Water Pipeline,164,145,19,88.4,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Water Supply,Unauthorised Water Tapping,74,65,9,87.8,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Air Pollution,Construction Dust / Debris,7,6,1,85.7,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Air Pollution,Industrial Smoke / Emissions,6,5,1,83.3,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Street Lights,Street Light Not Working,202,192,10,95.0,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Trees,Tree Trimming Required,71,64,7,90.1,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Trees,Fallen / Dangerous Tree,30,27,3,90.0,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Buildings,Illegal Construction,67,43,24,64.2,28,30,0,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/E,Chembur East / Govandi,Eastern Suburbs,Toilets / Sanitation,Public Toilet Not Functional,65,55,10,84.6,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Roads,Bad Patches / Potholes,746,651,95,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Roads,Resurfacing of Road,301,262,39,87.0,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Roads,Broken Footpath,156,136,20,87.2,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Drainage,Drainage Choke / Blockage,322,267,55,82.9,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Drainage,Overflow / Flooding,176,146,30,83.0,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Drainage,Leaking Sewer Line,88,73,15,83.0,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Solid Waste Mgmt,Garbage Not Lifted,151,130,21,86.1,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,71,60,11,84.5,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Solid Waste Mgmt,Waste Burning,30,26,4,86.7,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Water Supply,Shortage of Water,156,137,19,87.8,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Water Supply,Water Contamination,50,44,6,88.0,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Water Supply,Leaking Water Pipeline,103,90,13,87.4,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Water Supply,Unauthorised Water Tapping,46,41,5,89.1,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Air Pollution,Construction Dust / Debris,4,4,0,100.0,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Air Pollution,Industrial Smoke / Emissions,4,3,1,75.0,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Street Lights,Street Light Not Working,126,120,6,95.2,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Trees,Tree Trimming Required,44,40,4,90.9,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Trees,Fallen / Dangerous Tree,19,17,2,89.5,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Buildings,Illegal Construction,42,27,15,64.3,28,30,0,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,M/W,Chembur West,Eastern Suburbs,Toilets / Sanitation,Public Toilet Not Functional,40,34,6,85.0,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Roads,Bad Patches / Potholes,1119,976,143,87.2,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Roads,Resurfacing of Road,451,394,57,87.4,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Roads,Broken Footpath,235,205,30,87.2,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Drainage,Drainage Choke / Blockage,483,401,82,83.0,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Drainage,Overflow / Flooding,263,219,44,83.3,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Drainage,Leaking Sewer Line,132,109,23,82.6,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Solid Waste Mgmt,Garbage Not Lifted,227,194,33,85.5,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,106,91,15,85.8,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Solid Waste Mgmt,Waste Burning,45,39,6,86.7,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Water Supply,Shortage of Water,234,206,28,88.0,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Water Supply,Water Contamination,74,66,8,89.2,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Water Supply,Leaking Water Pipeline,154,136,18,88.3,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Water Supply,Unauthorised Water Tapping,69,61,8,88.4,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Air Pollution,Construction Dust / Debris,7,6,1,85.7,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Air Pollution,Industrial Smoke / Emissions,5,5,0,100.0,16,15,1,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Street Lights,Street Light Not Working,189,180,9,95.2,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Trees,Tree Trimming Required,66,60,6,90.9,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Trees,Fallen / Dangerous Tree,28,26,2,92.9,9,1,8,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Buildings,Illegal Construction,63,40,23,63.5,28,30,0,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,N,Ghatkopar East & West,Eastern Suburbs,Toilets / Sanitation,Public Toilet Not Functional,61,52,9,85.2,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Roads,Bad Patches / Potholes,1193,1042,151,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Roads,Resurfacing of Road,481,420,61,87.3,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Roads,Broken Footpath,250,218,32,87.2,17,15,2,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Drainage,Drainage Choke / Blockage,515,428,87,83.1,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Drainage,Overflow / Flooding,281,233,48,82.9,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Drainage,Leaking Sewer Line,140,117,23,83.6,19,7,12,Level II,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Solid Waste Mgmt,Garbage Not Lifted,242,207,35,85.5,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,113,97,16,85.8,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Solid Waste Mgmt,Waste Burning,48,41,7,85.4,7,3,4,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Water Supply,Shortage of Water,249,220,29,88.4,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Water Supply,Water Contamination,79,70,9,88.6,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Water Supply,Leaking Water Pipeline,164,145,19,88.4,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
2019,P/N,Goregaon / Malad,Western Suburbs,Water Supply,Unauthorised Water Tapping,74,65,9,87.8,11,7,4,Level I,Praja Foundation - Civic Issues Mumbai 2020 (RTI from CCRS)
